iter	Passed	Remaining
0	25	2523
1	50	2490
2	74	2421
3	99	2397
4	124	2368
5	151	2379
6	175	2332
7	201	2312
8	226	2291
9	250	2256
10	273	2215
11	298	2192
12	322	2161
13	336	2066
14	357	2023
15	381	2005
16	407	1988
17	431	1965
18	442	1887
19	468	1873
20	482	1816
21	498	1766
22	521	1745
23	549	1739
24	573	1721
25	600	1708
26	622	1682
27	640	1647
28	664	1627
29	688	1606
30	711	1584
31	736	1564
32	753	1529
33	779	1512
34	804	1493
35	828	1472
36	854	1454
37	872	1423
38	885	1384
39	907	1361
40	931	1340
41	956	1320
42	984	1304
43	1009	1284
44	1032	1262
45	1045	1227
46	1065	1201
47	1091	1182
48	1115	1160
49	1127	1127
50	1150	1105
51	1174	1084
52	1193	1058
53	1217	1037
54	1241	1016
55	1266	994
56	1292	975
57	1307	947
58	1330	924
59	1355	903
60	1379	881
61	1405	861
62	1428	838
63	1452	816
64	1477	795
65	1507	776
66	1530	753
67	1555	731
68	1578	709
69	1605	688
70	1631	666
71	1656	644
72	1681	621
73	1705	599
74	1730	576
75	1756	554
76	1780	531
77	1805	509
78	1831	486
79	1857	464
80	1882	441
81	1906	418
82	1930	395
83	1958	372
84	1985	350
85	2010	327
86	2033	303
87	2058	280
88	2085	257
89	2108	234
90	2132	210
91	2158	187
92	2185	164
93	2208	140
94	2232	117
95	2256	94
96	2283	70
97	2305	47
98	2329	23
99	2353	0
